Date,Building,Chilled Water (kWh),Cooling (kWh),Domestic Cold Water (m3),Electricity (kWh),Heating (kWh),Heating Water (kWh),Natural Gas (kWh)
2019-02-20,B4,0,,15.2,"9,090.51",,"8,877.78",0
2019-02-20,B5,269.63,,15.05,"1,862.63",,"6,661.12",0
2019-02-20,B6,0,,4.5,"3,642.46",,"17,700.01",286.11
2019-02-21,B1,,"4,733.10",8.72,"11,510.00","26,386.13",,0
2019-02-21,B2,,0,62.47,"12,515.92","50,961.15",,"2,466.67"
2019-02-21,B3,0,,0,"5,156.96",,"16,533.35",0
2019-02-21,B4,0,,14.8,"8,185.18",,"11,375.01",0
2019-02-21,B5,293.07,,18.21,"1,854.46",,"8,555.56",0
2019-02-21,B6,0,,4.4,"3,604.98",,"20,325.02",388.89
2019-02-22,B1,,"4,850.33",1.87,"10,924.98","20,750.02",,0
2019-02-22,B2,,111.37,68.2,"11,668.81","49,583.37",,"2,302.78"
2019-02-22,B3,0,,44.5,"5,038.82",,"13,316.68",0
2019-02-22,B4,0,,0,"6,640.73",,"9,963.90",0
2019-02-22,B5,278.42,,17.98,"1,859.22",,"6,472.23",0
2019-02-22,B6,0,,6.8,"3,322.24",,"19,972.24",333.33
2019-02-23,B1,,"4,610.01",0.63,"10,731.65","26,213.91",,0
2019-02-23,B2,,0,59.65,"10,750.89","53,416.71",,"3,944.45"
2019-02-23,B3,0,,35.9,"5,266.90",,"15,869.46",0
2019-02-23,B4,0,,5.2,"9,681.71",,"10,358.34",0
2019-02-23,B5,252.04,,25.61,"1,965.67",,"8,772.23",0
2019-02-23,B6,0,,0.3,"3,600.46",,"22,013.91",444.44
2019-02-24,B1,,"4,724.31",0.02,"12,399.23","28,872.25",,0
2019-02-24,B2,,0,53.25,"11,877.62","55,538.93",,"5,500.00"
2019-02-24,B3,0,,36.2,"6,090.83",,"19,208.35",0
2019-02-24,B4,0,,1.6,"11,706.33",,"16,958.35",0
2019-02-24,B5,249.11,,29.38,"2,001.16",,"9,891.67",0
2019-02-24,B6,0,,0.0,"3,957.36",,"28,705.58",422.22
2019-02-25,B1,,"4,633.45",9.5,"13,254.58","33,302.80",,0
2019-02-25,B2,,0,87.33,"13,370.29","56,630.60",,"4,116.67"
2019-02-25,B3,0,,61.2,"5,946.51",,"20,272.24",0
2019-02-25,B4,0,,36.6,"10,946.49",,"18,438.90",0
2019-02-25,B5,254.97,,23.96,"1,967.40",,"8,258.34",0
2019-02-25,B6,0,,9.0,"3,964.33",,"21,855.57",561.11
2019-02-26,B1,,"4,806.37",6.58,"12,991.64","31,786.14",,0
2019-02-26,B2,,0,89.23,"13,467.44","54,980.60",,"2,475.00"
2019-02-26,B3,0,,62.7,"5,768.15",,"18,127.79",0
2019-02-26,B4,0,,37.2,"10,117.53",,"16,091.68",0
2019-02-26,B5,290.14,,23.61,"1,934.86",,"6,019.45",0
2019-02-26,B6,0,,8.0,"3,786.36",,"18,250.01",544.44
2019-02-27,B1,,"4,932.39",6.27,"13,062.36","26,247.24",,0
2019-02-27,B2,,38.1,84.74,"13,056.30","52,961.15",,"2,388.89"
2019-02-27,B3,0,,60.8,"5,438.03",,"16,094.46",0
2019-02-27,B4,0,,34.6,"9,572.55",,"12,719.45",0
2019-02-27,B5,313.59,,24.88,"1,977.14",,"4,744.45",0
2019-02-27,B6,0,,7.5,"3,580.07",,"16,502.79",447.22
2019-02-28,B1,,"5,137.54",8.95,"12,550.92","23,188.91",,0
2019-02-28,B2,,0,85.2,"11,947.97","51,947.26",,"2,397.22"
2019-02-28,B3,0,,62.1,"5,604.02",,"12,563.90",0
2019-02-28,B4,0,,33.9,"8,955.30",,"10,505.56",0
2019-02-28,B5,375.13,,24.65,"1,976.83",,"3,641.67",0
2019-02-28,B6,0,,7.0,"3,707.77",,"12,797.23",355.56
2019-03-01,B1,,"4,762.40",13.94,"10,913.90","31,966.69",,0
2019-03-01,B2,,0,79.54,"12,738.08","55,652.82",,"3,286.11"
2019-03-01,B3,0,,57,"4,613.35",,"17,758.35",0
2019-03-01,B4,0,,31.3,"9,346.58",,"14,916.68",0
2019-03-01,B5,266.69,,26.91,"1,975.71",,"6,161.12",0
2019-03-01,B6,0,,6.8,"3,477.70",,"16,516.68",550.0
2019-03-02,B1,,"4,853.26",0.62,"10,736.46","34,619.47",,0
2019-03-02,B2,,0,66.53,"12,338.25","57,569.49",,"3,888.89"
2019-03-02,B3,0,,37.7,"4,161.58",,"21,663.91",0
2019-03-02,B4,0,,4.1,"8,610.41",,"19,175.02",0
2019-03-02,B5,266.69,,33.09,"2,059.85",,"7,225.01",0
2019-03-02,B6,0,,0.5,"3,277.66",,"19,941.68",580.56
2019-03-03,B1,,"4,894.29",0.03,"12,740.69","31,791.69",,0
2019-03-03,B2,,0,69.13,"11,562.67","54,927.82",,"3,030.56"
2019-03-03,B3,0,,72.2,"5,174.24",,"19,061.13",0
2019-03-03,B4,0,,1.5,"10,933.18",,"16,219.46",0
2019-03-03,B5,287.21,,26.32,"2,008.44",,"6,613.89",0
2019-03-03,B6,0,,0.4,"3,839.40",,"17,763.90",577.78
2019-03-04,B1,,"4,900.15",11.03,"13,347.79","29,391.69",,0
2019-03-04,B2,,0,88.11,"13,037.47","53,308.38",,"2,513.89"
2019-03-04,B3,0,,62.3,"5,291.17",,"17,813.90",0
2019-03-04,B4,0,,38.4,"10,266.18",,"15,311.12",0
2019-03-04,B5,345.82,,26.83,"2,004.63",,"5,552.78",0
2019-03-04,B6,0,,9.1,"3,684.10",,"17,455.57",561.11
2019-03-05,B1,,"5,023.24",15.74,"12,816.46","27,641.69",,0
2019-03-05,B2,,32.24,88.6,"13,204.08","50,536.15",,"2,455.56"
2019-03-05,B3,0,,61.9,"5,415.41",,"16,647.24",0
2019-03-05,B4,0,,34.2,"10,523.79",,"12,766.68",0
2019-03-05,B5,366.34,,25.11,"1,980.10",,"4,844.45",0
2019-03-05,B6,0,,8.2,"3,751.14",,"15,916.68",408.33
2019-03-06,B1,,"4,862.05",6.67,"13,305.53","29,175.02",,0
2019-03-06,B2,,0,80.39,"13,218.38","53,094.49",,"2,608.34"
2019-03-06,B3,0,,63.3,"5,337.70",,"18,813.90",0
2019-03-06,B4,0,,36,"9,679.79",,"13,213.90",0
2019-03-06,B5,278.42,,24.26,"1,975.82",,"5,594.45",0
2019-03-06,B6,0,,7.7,"3,561.46",,"15,711.12",491.67
2019-03-07,B1,,"4,765.34",17.98,"12,446.95","26,341.69",,0
2019-03-07,B2,,0,80.55,"12,979.80","49,919.48",,"3,805.56"
2019-03-07,B3,0,,60.7,"5,468.06",,"18,041.68",0
2019-03-07,B4,0,,30.9,"8,330.48",,"10,716.68",0
2019-03-07,B5,293.07,,29.37,"1,957.40",,"4,766.67",0
2019-03-07,B6,0,,0.0,"3,535.48",,"13,833.34",427.78
2019-03-08,B1,,"4,642.25",7.48,"10,516.07","21,927.80",,0
2019-03-08,B2,,0,78.54,"11,611.48","49,033.37",,"2,741.67"
2019-03-08,B3,0,,56,"2,275.57",,"14,547.23",0
2019-03-08,B4,0,,27.9,"7,308.58",,"9,344.45",0
2019-03-08,B5,301.86,,24.2,"2,041.47",,"3,644.45",0
2019-03-08,B6,0,,6.5,"2,674.14",,"12,691.68",402.78
2019-03-09,B1,,"4,589.49",7.06,"10,012.64","19,222.24",,0
2019-03-09,B2,,0,59.59,"9,602.39","50,450.04",,"4,036.11"
2019-03-09,B3,0,,44.6,"3,366.38",,"7,641.67",0
2019-03-09,B4,0,,4.2,"7,212.96",,"7,947.23",0
2019-03-09,B5,424.95,,26.06,"1,870.13",,"2,838.89",0
2019-03-09,B6,0,,0.4,"2,578.76",,"7,333.34",319.44
2019-03-10,B1,,"4,510.36",0.37,"12,465.89","18,775.02",,0
2019-03-10,B2,,172.91,52.39,"9,261.20","44,316.70",,"4,238.89"
2019-03-10,B3,0,,33.2,"4,843.04",,"8,827.78",0
2019-03-10,B4,0,,1,"8,994.46",,"6,550.01",0
2019-03-10,B5,407.37,,22.05,"1,983.68",,"2,772.22",0
2019-03-10,B6,0,,0.2,"3,603.63",,"7,519.45",372.22
2019-03-11,B1,,"4,941.18",5.99,"13,292.03","12,850.01",,0
2019-03-11,B2,,386.85,87.49,"11,590.84","42,219.48",,"2,858.34"
2019-03-11,B3,0,,63.1,"4,775.73",,"8,152.78",0
2019-03-11,B4,0,,33,"8,969.31",,"7,044.45",0
2019-03-11,B5,536.32,,25.29,"2,009.55",,"1,480.56",0
2019-03-11,B6,0,,11.7,"3,713.23",,"11,716.68",244.44
2019-03-12,B1,,"4,859.12",8.44,"12,686.27","16,383.35",,0
2019-03-12,B2,,64.48,81.95,"12,041.24","46,030.59",,"2,122.22"
2019-03-12,B3,0,,61.7,"4,788.98",,"9,238.90",0
2019-03-12,B4,0,,30.7,"9,358.57",,"7,872.23",0
2019-03-12,B5,419.09,,23.42,"1,971.24",,"1,894.45",0
2019-03-12,B6,0,,7.9,"3,671.40",,"12,041.68",372.22
2019-03-13,B1,,"5,075.99",12.22,"13,055.50","17,669.46",,0
2019-03-13,B2,,0,78.1,"15,607.15","47,363.93",,375
2019-03-13,B3,0,,59.7,"4,860.03",,"9,097.23",0
2019-03-13,B4,0,,29.7,"9,264.27",,"8,172.23",0
2019-03-13,B5,468.91,,27.67,"1,995.02",,"1,686.11",0
2019-03-13,B6,0,,7.1,"3,608.55",,"13,272.23",208.33
2019-03-14,B1,,"5,213.73",3.61,"12,341.56","18,719.46",,0
2019-03-14,B2,,0,82.68,"32,401.63","48,630.59",,575
2019-03-14,B3,0,,60.4,"4,707.45",,"9,786.12",0
2019-03-14,B4,0,,30.1,"8,355.39",,"9,175.01",0
2019-03-14,B5,486.5,,35.02,"1,994.64",,"2,347.22",0
2019-03-14,B6,0,,6.7,"3,651.96",,"13,475.01",247.22
2019-03-15,B1,,"5,289.93",10.67,"10,419.11","15,405.57",,0
2019-03-15,B2,,2.93,78.9,"31,404.68","45,002.81",,336.11
2019-03-15,B3,0,,57.5,"3,677.98",,"8,966.67",0
2019-03-15,B4,0,,23.2,"7,058.71",,"7,797.23",0
2019-03-15,B5,492.36,,22.05,"1,945.34",,"1,344.45",0
2019-03-15,B6,0,,5.7,"2,707.03",,"13,905.57",194.44
2019-03-16,B1,,"4,844.46",2.0,"10,333.00","15,497.23",,0
2019-03-16,B2,,199.29,55.97,"27,911.28","45,177.81",,683.33
2019-03-16,B3,0,,35,"3,590.38",,"8,347.23",0
2019-03-16,B4,0,,3.4,"5,206.96",,"7,983.34",0
2019-03-16,B5,492.36,,23.97,"2,067.66",,"1,911.11",0
2019-03-16,B6,0,,0.5,"2,667.94",,"6,405.56",294.44
2019-03-17,B1,,"4,838.60",7.38,"12,553.86","13,252.79",,0
2019-03-17,B2,,357.55,60.83,"27,238.11","42,094.48",,772.22
2019-03-17,B3,0,,34.5,"4,747.37",,"7,480.56",0
2019-03-17,B4,0,,1.6,"9,256.58",,"4,230.56",0
2019-03-17,B5,744.4,,26.24,"2,049.60",,"1,400.00",0
2019-03-17,B6,0,,0.0,"3,628.55",,"5,713.89",305.56
2019-03-18,B1,,"5,240.11",4.36,"12,959.52","11,602.79",,0
2019-03-18,B2,,369.27,85.91,"30,945.66","40,852.81",,"1,297.22"
2019-03-18,B3,0,,59.5,"4,755.54",,"7,205.56",0
2019-03-18,B4,0,,35.6,"9,312.34",,"6,752.78",0
2019-03-18,B5,929.04,,28.99,"2,035.47",,"1,202.78",0
2019-03-18,B6,38.1,,8.9,"3,684.94",,"12,775.01",172.22
2019-03-19,B1,,"4,035.59",12.33,"12,697.67","10,119.45",,0
2019-03-19,B2,,416.16,85.59,"31,373.51","37,850.03",,672.22
2019-03-19,B3,0,,58.9,"4,740.82",,"6,091.67",0
2019-03-19,B4,0,,35.2,"9,329.30",,"7,291.67",0
2019-03-19,B5,"1,137.12",,34.52,"2,001.43",,"1,200.00",0
2019-03-19,B6,52.75,,8.0,"3,779.43",,"11,180.56",163.89
2019-03-20,B1,,"5,861.42",8.93,"13,101.35","9,433.34",,0
2019-03-20,B2,,504.08,88.32,"36,296.20","36,511.14",,844.45
2019-03-20,B3,0,,59.5,"4,778.86",,"5,483.34",0
2019-03-20,B4,0,,36.6,"8,672.18",,"6,869.45",0
2019-03-20,B5,"1,301.24",,26.16,"1,983.14",,"1,119.45",0
2019-03-20,B6,0,,7.5,"3,685.40",,"10,811.12",141.67
2019-03-21,B1,,"5,533.18",13.94,"12,481.13","9,508.34",,0
2019-03-21,B2,,237.39,85.83,"30,891.14","37,038.92",,347.22
2019-03-21,B3,0,,60.1,"4,632.36",,"5,175.00",0
2019-03-21,B4,0,,34.7,"7,219.49",,"6,525.01",0
2019-03-21,B5,"1,134.19",,24.52,"1,940.35",,"1,052.78",0
2019-03-21,B6,14.65,,6.9,"3,840.69",,"10,475.01",125.0
2019-03-22,B1,,"5,254.76",7.63,"10,727.35","9,569.45",,0
2019-03-22,B2,,249.11,72.77,"30,485.35","37,041.70",,"1,266.67"
2019-03-22,B3,0,,54.3,"2,113.10",,"5,083.34",0
2019-03-22,B4,0,,28,"5,971.20",,"5,813.89",0
2019-03-22,B5,"1,075.57",,22.6,"2,012.04",,"1,011.11",0
2019-03-22,B6,0,,5.8,"2,668.07",,"11,305.56",102.78
2019-03-23,B1,,"4,724.31",0.74,"10,602.37","10,652.79",,0
2019-03-23,B2,,105.51,55.37,"26,653.77","38,025.03",,597.22
2019-03-23,B3,0,,21.7,"3,275.27",,"4,297.23",0
2019-03-23,B4,0,,6.2,"5,105.18",,"6,469.45",0
2019-03-23,B5,814.74,,23.21,"2,161.11",,"1,133.33",0
2019-03-23,B6,0,,0.6,"2,717.27",,"4,836.11",158.33
2019-03-24,B1,,"4,856.19",0.0,"12,650.59","14,444.46",,0
2019-03-24,B2,,0,52.64,"26,619.30","42,041.70",,"2,008.33"
2019-03-24,B3,0,,33.8,"4,576.67",,"7,366.67",0
2019-03-24,B4,0,,1.7,"8,311.94",,"5,211.12",0
2019-03-24,B5,351.69,,24.49,"2,134.17",,"2,033.33",0
2019-03-24,B6,0,,0.4,"3,749.74",,"5,691.67",266.67
2019-03-25,B1,,"5,102.37",9.66,"12,894.85","13,241.68",,0
2019-03-25,B2,,0,68.21,"30,500.82","41,477.81",,158.33
2019-03-25,B3,0,,60.1,"4,697.62",,"7,091.67",0
2019-03-25,B4,0,,38.9,"8,230.71",,"8,430.56",0
2019-03-25,B5,797.15,,24.46,"2,117.45",,"1,700.00",0
2019-03-25,B6,0,,11.4,"3,637.65",,"11,469.45",155.56
2019-03-26,B1,,"4,879.63",4.23,"12,637.55","11,675.01",,0
2019-03-26,B2,,2.93,74.3,"30,789.77","40,244.48",,755.56
2019-03-26,B3,0,,59.3,"4,734.02",,"6,566.67",0
2019-03-26,B4,0,,35.9,"8,386.76",,"7,650.01",0
2019-03-26,B5,791.29,,24.55,"2,048.98",,"1,247.22",0
2019-03-26,B6,0,,7.7,"3,703.15",,"10,919.45",111.11
2019-03-27,B1,,"5,289.93",5.99,"12,987.76","14,452.79",,0
2019-03-27,B2,,0,77.32,"31,187.76","42,580.59",,875
2019-03-27,B3,0,,56.7,"4,881.06",,"7,383.34",0
2019-03-27,B4,0,,34.7,"8,708.31",,"8,869.45",0
2019-03-27,B5,401.51,,28.15,"1,990.16",,"1,619.45",0
2019-03-27,B6,0,,6.9,"3,599.12",,"12,644.45",141.67
2019-03-28,B1,,"5,231.32",3.79,"12,264.28","14,319.46",,0
2019-03-28,B2,,0,74.19,"30,965.86","42,863.92",,525
2019-03-28,B3,0,,58.9,"4,627.64",,"7,213.89",0
2019-03-28,B4,0,,34.3,"8,000.24",,"8,666.67",0
2019-03-28,B5,486.5,,27.64,"1,995.50",,"1,650.00",0
2019-03-28,B6,0,,7.4,"3,623.70",,"12,122.23",161.11
2019-03-29,B1,,"4,873.77",8.58,"10,511.70","12,658.34",,0
2019-03-29,B2,,84.99,69.33,"30,494.30","42,313.92",,788.89
2019-03-29,B3,0,,54.2,"3,618.09",,"6,850.01",0
2019-03-29,B4,0,,30.5,"5,029.41",,"8,069.45",0
2019-03-29,B5,896.8,,23.72,"2,018.62",,"1,300.00",0
2019-03-29,B6,0,,6.8,"2,695.93",,"12,977.79",147.22
2019-03-30,B1,,"4,653.97",0.75,"10,290.93","10,858.34",,0
2019-03-30,B2,,360.48,44.94,"26,683.60","38,247.25",,713.89
2019-03-30,B3,0,,34.6,"3,579.38",,"6,069.45",0
2019-03-30,B4,0,,4.7,"5,309.93",,"3,277.78",0
2019-03-30,B5,858.7,,23.15,"2,137.26",,"1,075.00",0
2019-03-30,B6,0,,0.5,"2,676.05",,"5,288.89",150.0
2019-03-31,B1,,"4,695.00",0.0,"12,560.84","11,405.56",,0
2019-03-31,B2,,278.42,44.01,"26,340.86","39,161.14",,"1,019.45"
2019-03-31,B3,0,,33.9,"4,786.14",,"6,386.12",0
2019-03-31,B4,0,,2.6,"6,721.16",,"3,294.45",0
2019-03-31,B5,703.37,,32.67,"2,044.72",,"1,172.22",0
2019-03-31,B6,0,,0.3,"3,726.91",,"5,141.67",158.33
2019-04-01,B1,,"5,105.30",3.21,"12,945.98","12,938.90",,"5,666.67"
2019-04-01,B2,,26.38,75.57,"29,655.84","41,294.48",,158.33
2019-04-01,B3,0,,59.1,"4,810.26",,"7,041.67",0
2019-04-01,B4,0,,36.2,"7,227.24",,"4,050.00",0
2019-04-01,B5,674.06,,32.18,"2,027.11",,"1,380.56",0
2019-04-01,B6,0,,11.3,"3,711.57",,"12,125.01",138.89
2019-04-02,B1,,"5,046.68",8.47,"12,990.08","13,222.23",,"5,491.67"
2019-04-02,B2,,74.74,73.15,"30,071.74","40,650.03",,133.33
2019-04-02,B3,0,,60.2,"4,719.32",,"6,427.78",0
2019-04-02,B4,0,,37.6,"4,033.63",,"3,502.78",0
2019-04-02,B5,"1,008.16",,26.24,"1,937.99",,"1,394.45",0
2019-04-02,B6,0,,6.6,"3,341.25",,"12,500.01",122.22
2019-04-03,B1,,"4,689.14",3.09,"13,044.51","12,191.68",,"5,413.89"
2019-04-03,B2,,123.09,79.11,"30,713.33","40,055.59",,136.11
2019-04-03,B3,0,,61,"4,559.85",,"5,288.89",0
2019-04-03,B4,0,,35.2,"8,770.84",,"3,952.78",0
2019-04-03,B5,"1,057.99",,25.16,"1,979.51",,"1,233.33",0
2019-04-03,B6,0,,7.6,"3,341.25",,"11,480.56",138.89
2019-04-04,B1,,"4,911.87",3.57,"12,628.27","10,013.90",,"5,625.00"
2019-04-04,B2,,272.56,78.47,"30,721.53","37,394.47",,388.89
2019-04-04,B3,0,,58,"4,511.36",,"3,858.34",0
2019-04-04,B4,0,,32.7,"8,770.84",,"3,705.56",0
2019-04-04,B5,"1,075.57",,25.15,"1,982.11",,"1,216.67",0
2019-04-04,B6,0,,7.2,"3,341.25",,"10,700.01",119.44
2019-04-05,B1,,"4,894.29",2.27,"11,526.17","11,277.79",,"5,613.89"
2019-04-05,B2,,8.79,74.94,"30,107.59","39,100.03",,"1,247.22"
2019-04-05,B3,0,,54,"3,442.45",,"4,288.89",0
2019-04-05,B4,0,,27.4,"8,770.84",,"4,113.89",0
2019-04-05,B5,612.52,,24.51,"1,984.73",,"1,163.89",0
2019-04-05,B6,0,,6.1,"3,341.25",,"10,405.56",116.67
2019-04-06,B1,,"4,703.79",4.82,"10,485.72","9,622.23",,"5,597.23"
2019-04-06,B2,,260.83,57.88,"26,501.90","36,147.25",,"1,277.78"
2019-04-06,B3,0,,34.5,"3,352.24",,"3,988.89",0
2019-04-06,B4,0,,4.6,"8,770.84",,"3,594.45",0
2019-04-06,B5,961.27,,31.53,"2,055.56",,"1,208.33",0
2019-04-06,B6,0,,0.3,"3,341.25",,"5,102.78",136.11
2019-04-07,B1,,"4,727.24",0.72,"11,095.64","9,491.67",,"5,566.67"
2019-04-07,B2,,316.52,56.11,"26,272.58","36,702.81",,"1,525.00"
2019-04-07,B3,0,,46.05,"4,558.82",,"3,911.11",0
2019-04-07,B4,0,,4.8,"8,770.84",,"5,041.67",0
2019-04-07,B5,"1,022.82",,37.72,"1,985.49",,"1,280.56",0
2019-04-07,B6,0,,0.4,"3,341.25",,"4,963.89",143.06
2019-04-08,B1,,"3,798.20",2.29,"12,317.45","9,986.12",,"5,563.89"
2019-04-08,B2,,23.45,72.57,"30,047.73","37,422.25",,780.56
2019-04-08,B3,0,,57.6,"4,685.77",,"2,819.45",0
2019-04-08,B4,0,,35.7,"8,770.84",,"3,844.45",0
2019-04-08,B5,"1,128.32",,42.14,"2,013.17",,"1,277.78",0
2019-04-08,B6,0,,10.2,"3,341.25",,"10,958.34",150.0
2019-04-09,B1,,"4,876.70",3.43,"12,462.32","10,116.67",,"7,469.45"
2019-04-09,B2,,96.71,75.1,"29,974.87","38,769.48",,133.33
2019-04-09,B3,0,,56.8,"4,742.81",,"3,033.34",0
2019-04-09,B4,0,,34.6,"8,770.84",,"4,558.34",0
2019-04-09,B5,"1,060.92",,32.82,"2,000.73",,"1,491.67",0
2019-04-09,B6,0,,7.9,"3,341.25",,"11,750.01",122.22
2019-04-10,B1,,"5,011.52",7.56,"12,189.89","9,827.79",,"5,586.12"
2019-04-10,B2,,35.17,81.07,"30,070.86","38,463.92",,133.33
2019-04-10,B3,0,,57.3,"4,821.14",,"6,536.12",0
2019-04-10,B4,0,,39,"8,770.84",,"5,236.12",0
2019-04-10,B5,741.47,,23.8,"2,002.79",,"1,247.22",0
2019-04-10,B6,0,,7.4,"3,341.25",,"11,905.57",91.67
2019-04-11,B1,,"5,175.64",2.45,"11,776.87","12,850.01",,"8,758.34"
2019-04-11,B2,,77.67,83.03,"30,477.87","42,202.81",,813.89
2019-04-11,B3,0,,55.2,"4,643.91",,"7,930.56",0
2019-04-11,B4,0,,35.4,"8,770.84",,"5,888.89",0
2019-04-11,B5,495.29,,27.04,"1,967.14",,"1,927.78",0
2019-04-11,B6,0,,6.2,"3,341.25",,"11,100.01",155.56
2019-04-12,B1,,"4,941.18",1.66,"11,144.15","12,888.90",,"5,497.23"
2019-04-12,B2,,77.67,72.53,"29,655.19","41,294.48",,"1,802.78"
2019-04-12,B3,0,,52.2,"3,573.43",,"7,763.90",0
2019-04-12,B4,0,,25.1,"8,770.84",,"5,133.34",0
2019-04-12,B5,583.21,,21.42,"1,980.11",,"1,613.89",0
2019-04-12,B6,0,,5.0,"3,341.25",,"11,575.01",141.67
2019-04-13,B1,,"4,768.27",0.71,"10,285.66","10,925.01",,"5,413.89"
2019-04-13,B2,,398.58,63.86,"26,002.54","35,222.25",,"1,525.00"
2019-04-13,B3,0,,35.3,"3,577.07",,"6,419.45",0
2019-04-13,B4,0,,4.5,"8,770.84",,"3,025.00",0
2019-04-13,B5,"1,116.60",,23.67,"2,020.95",,"1,491.67",0
2019-04-13,B6,0,,0.3,"3,341.25",,"7,422.23",155.56
2019-04-14,B1,,"4,586.56",6.27,"10,860.55","11,197.23",,"5,413.89"
2019-04-14,B2,,518.74,54.88,"25,814.92","28,250.02",,"1,655.56"
2019-04-14,B3,0,,35.1,"4,566.20",,"6,944.45",0
2019-04-14,B4,0,,3.8,"8,770.84",,"3,672.23",0
2019-04-14,B5,732.68,,23.34,"2,063.59",,"1,488.89",0
2019-04-14,B6,0,,3.2,"3,341.25",,"5,225.00",188.89
2019-04-15,B1,,"4,741.89",1.21,"11,687.02","11,763.90",,"5,391.67"
2019-04-15,B2,,90.85,76.95,"29,827.28","31,150.02",,"1,702.78"
2019-04-15,B3,0,,50,"4,457.82",,"7,752.78",0
2019-04-15,B4,0,,20.2,"8,770.84",,"5,361.12",0
2019-04-15,B5,788.36,,28.66,"2,056.11",,"1,650.00",0
2019-04-15,B6,0,,6.1,"3,341.25",,"12,058.34",141.67
2019-04-16,B1,,"4,267.11",1.06,"11,362.80","10,941.68",,"5,475.00"
2019-04-16,B2,,175.84,69.56,"29,885.24","32,838.92",,930.56
2019-04-16,B3,0,,47.4,"4,491.63",,"7,227.78",0
2019-04-16,B4,0,,13.8,"5,472.87",,"4,725.00",0
2019-04-16,B5,"1,046.26",,29.73,"2,010.21",,"1,533.33",0
2019-04-16,B6,0,,5.4,"3,536.63",,"10,552.79",138.89
2019-04-17,B1,,"5,486.29",1.1,"10,946.06","8,733.34",,"5,477.78"
2019-04-17,B2,,193.43,75.94,"29,954.26","31,316.69",,947.22
2019-04-17,B3,0,,56,"4,486.69",,"14,547.23",0
2019-04-17,B4,0,,15.8,"8,528.29",,"4,200.00",0
2019-04-17,B5,"1,362.78",,26.28,"1,946.07",,"1,233.33",0
2019-04-17,B6,0,,4.5,"3,638.57",,"10,550.01",102.78
2019-04-18,B1,,"9,225.88",5.78,"10,553.17","7,483.34",,"5,536.12"
2019-04-18,B2,,562.7,71.81,"29,421.26","28,352.80",,"1,022.22"
2019-04-18,B3,0,,46.6,"4,066.44",,"4,958.34",0
2019-04-18,B4,0,,12.1,"7,369.59",,"3,136.11",0
2019-04-18,B5,"1,447.77",,24.3,"2,039.04",,"1,000.00",0
2019-04-18,B6,0,,4.2,"3,359.97",,"9,255.56",86.11
2019-04-19,B1,,"4,700.86",0.17,"10,193.98","10,680.56",,"5,383.34"
2019-04-19,B2,,586.14,44.73,"27,494.34","29,275.02",,"5,483.34"
2019-04-19,B3,0,,35,"3,621.88",,"6,044.45",0
2019-04-19,B4,0,,3.4,"6,950.34",,"4,472.23",0
2019-04-19,B5,562.7,,20.03,"1,952.71",,"1,188.89",0
2019-04-19,B6,0,,0.4,"2,710.55",,"10,216.67",55.56
2019-04-20,B1,,"4,586.56",0.68,"10,013.40","11,038.90",,"5,316.67"
2019-04-20,B2,,316.52,45.06,"25,766.87","28,858.36",,"6,163.89"
2019-04-20,B3,0,,34.8,"3,562.33",,"4,505.56",0
2019-04-20,B4,0,,3.1,"6,780.78",,"3,097.22",0
2019-04-20,B5,911.45,,20.34,"1,947.41",,"1,061.11",0
2019-04-20,B6,0,,0.3,"2,592.94",,"5,527.78",122.22
2019-04-21,B1,,"8,534.23",0.03,"10,255.52","9,475.01",,"5,397.23"
2019-04-21,B2,,325.31,43.44,"25,451.43","28,994.47",,"6,419.45"
2019-04-21,B3,0,,34.4,"4,763.43",,"2,975.00",0
2019-04-21,B4,0,,4.6,"7,359.31",,"2,619.45",0
2019-04-21,B5,"1,339.33",,20.82,"1,856.99",,936.11,0
2019-04-21,B6,0,,0.4,"3,648.27",,"5,127.78",83.33
2019-04-22,B1,,"8,411.14",7.14,"11,168.24","7,902.78",,"5,483.34"
2019-04-22,B2,,319.45,57.31,"29,543.51","28,336.13",,"2,350.00"
2019-04-22,B3,0,,45.1,"4,590.95",,"3,563.89",0
2019-04-22,B4,0,,11.2,"7,722.45",,"2,941.67",0
2019-04-22,B5,"1,125.39",,22.62,"1,979.34",,988.89,0
2019-04-22,B6,0,,7.0,"3,879.33",,"9,327.79",102.78
2019-04-23,B1,,"4,885.49",0.48,"11,154.21","7,152.78",,"5,552.78"
2019-04-23,B2,,58.61,66.9,"29,751.23","29,450.02",,"1,736.11"
2019-04-23,B3,0,,46.2,"4,686.52",,"2,672.22",0
2019-04-23,B4,0,,12.9,"8,092.09",,"2,961.11",0
2019-04-23,B5,"1,386.23",,24.71,"1,990.31",,"1,005.56",0
2019-04-23,B6,0,,5.5,"3,628.29",,"10,733.34",30.56
2019-04-24,B1,,"4,999.79",5.7,"11,007.38","9,822.23",,"5,608.34"
2019-04-24,B2,,140.67,65.18,"29,726.01","29,208.36",,"2,769.45"
2019-04-24,B3,0,,52,"4,532.66",,"4,775.00",0
2019-04-24,B4,0,,15.1,"8,572.92",,"4,058.34",0
2019-04-24,B5,776.64,,21.21,"2,052.68",,"1,108.33",0
2019-04-24,B6,0,,4.8,"3,638.77",,"10,208.34",77.78
